index,cultivable,predicted_class,conf
26803,1,cultivable,1.000
7240,0,non-cultivable,0.622
17736,0,non-cultivable,0.969
25389,1,cultivable,0.641
18854,0,non-cultivable,1.000
14390,0,non-cultivable,1.000
12255,1,cultivable,0.792
9454,0,non-cultivable,0.999
7905,1,cultivable,0.949
1280,0,non-cultivable,0.999
20458,1,cultivable,0.876
12932,1,cultivable,0.893
23014,0,non-cultivable,0.898
13148,0,non-cultivable,1.000
16131,0,non-cultivable,1.000
19019,0,non-cultivable,0.573
9011,0,non-cultivable,0.999
13970,0,non-cultivable,1.000
2299,1,cultivable,0.879
12229,1,cultivable,0.683
1318,0,non-cultivable,0.885
9899,1,cultivable,0.964
11465,1,cultivable,0.974
25623,1,cultivable,1.000
12397,1,cultivable,0.899
15926,0,non-cultivable,0.984
17740,0,non-cultivable,0.918
11438,1,cultivable,0.998
2366,0,non-cultivable,0.995
19254,0,non-cultivable,1.000
16226,1,cultivable,0.632
16510,1,cultivable,0.543
18791,0,non-cultivable,0.600
10096,0,non-cultivable,0.952
12936,1,cultivable,0.999
6878,1,cultivable,0.693
6173,0,non-cultivable,0.638
9704,0,non-cultivable,0.725
14474,0,non-cultivable,1.000
10934,1,cultivable,0.968
6447,1,cultivable,0.965
4973,0,non-cultivable,0.971
11988,0,non-cultivable,0.979
10162,0,non-cultivable,0.938
1975,1,cultivable,0.886
12710,0,non-cultivable,0.915
17587,1,cultivable,0.619
813,0,non-cultivable,0.671
6689,0,non-cultivable,1.000
5052,0,non-cultivable,0.783
2179,0,non-cultivable,0.605
1128,0,non-cultivable,0.875
1274,0,non-cultivable,0.996
1396,1,cultivable,0.785
14172,0,non-cultivable,1.000
5359,1,cultivable,0.784
23803,1,cultivable,0.756
14332,0,non-cultivable,0.999
21827,1,cultivable,0.665
12879,0,non-cultivable,0.999
13208,0,non-cultivable,0.759
19706,1,cultivable,0.951
5869,0,non-cultivable,1.000
25418,0,non-cultivable,0.573
2160,0,non-cultivable,1.000
5386,1,cultivable,0.800
3188,1,cultivable,0.966
16598,0,non-cultivable,1.000
15572,0,non-cultivable,0.993
10491,1,cultivable,0.874
6986,0,non-cultivable,1.000
23830,1,cultivable,0.695
20261,1,cultivable,0.566
502,1,cultivable,0.993
1673,1,cultivable,0.881
15481,0,non-cultivable,0.998
594,1,cultivable,0.932
189,1,cultivable,0.908
16869,0,non-cultivable,1.000
21601,0,non-cultivable,0.975
14221,0,non-cultivable,1.000
7680,0,non-cultivable,0.987
11710,0,non-cultivable,0.755
7876,0,non-cultivable,0.999
18354,1,cultivable,0.692
19443,0,non-cultivable,0.754
